"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0165188	0.035257	-0.0205105	-0.000580383	1.5389e-05	0.000158271	0.0084371	0.0610382	-0.02511179	-0.00054715	0.000173875	4.3019e-05	0.13278929	0.0523702023	0.0522381577	0.05201833	0.0517110885	0.0513169495	0.0508365754	0.0502707735	0.0496204944	0.048886831	0.0480710162	0.0471744208	0.0461985516	0.0451450484	0.0440156816	0.042812349	0.0415370728	0.040191996	0.0387793789	0.0373015953	0.0357611286	0.0341605674	-0.0570776272	-0.0057711193	0.0158548563	-0.0316739108	-0.0228612305	0.0001014499	-0.0077202317	0.0345103018	0.0295680441	-0.0026975606	0	0	0	0	0	0	0	0	0	0	0
0.00358324	0.0540282	0.0573318	-0.000657153	-0.000406118	0.000158271	-0.01293556	0.0187712	0.0778423	-7.677e-05	-0.000421507	0	0.13446291	0.0523604445	0.052199163	0.0519307284	0.0515556917	0.0510748227	0.0504891087	0.0497997519	0.0490081675	0.0481159803	0.0471250218	0.0460373263	0.0448551266	0.0435808493	0.0422171104	0.0407667093	0.0392326234	0.0376180017	0.0359261587	0.0341605674	0.0323248521	0.0304227813	0.0352323551	0.022420768	0.0298239804	-0.0256483823	-0.0227387912	0.0054784596	0.000624015	-0.0378833995	0.0340559642	0.0115835648	0	0	0	0	0	0	0	0	0	0	0
-0.00883476	0.0381537	0.0645335	-0.000657153	-3.09108e-05	0.000158271	-0.012418	-0.0158745	0.00720170000000001	0	0.0003752072	0	0.05425456	0.0523497117	0.05215628	0.0518344232	0.0513849338	0.0508089184	0.0501077956	0.0492832916	0.0483374366	0.0472725596	0.0460912827	0.0447965146	0.0433914434	0.0418795288	0.0402644936	0.0385503146	0.0367412126	0.0348416421	0.0328562806	0.0307900166	0.0286479378	0.0264353189	0.0214968164	-0.0020304944	0.0196999875	0.0543208929	-0.0377391927	-0.0190951637	0.004097998	-0.0251212596	-0.042838108	0.0081181508	0	0	0	0	0	0	0	0	0	0	0
0.0233766	0.00566552	-0.0371833	-0.000256224	-0.000134518	0.000158271	0.03221136	-0.03248818	-0.1017168	0.000400929	-0.0001036072	0	0.19164315	0.0523380039	0.052109512	0.0517294306	0.0511988656	0.0505193604	0.0496928916	0.0487218636	0.047609101	0.0463578411	0.0449717237	0.0434547811	0.0418114263	0.0400464398	0.038164956	0.0361724484	0.0340747132	0.0318778528	0.029588258	0.0272125894	0.024757758	0.0222309049	-0.0363353019	0.0008353131	0.0391078583	0.0297717556	0.0133939835	0.0015057459	-0.0196520733	0.0398805088	0.0005801673	0.00624322	0	0	0	0	0	0	0	0	0	0	0
0.00794891	0.0855011	0.0776911	-0.000621301	-8.25334e-05	-1.32772e-06	-0.01542769	0.07983558	0.1148744	-0.000365077	5.19846e-05	-0.00015959872	0.238970686	0.0523253215	0.0520588623	0.0516157682	0.0509975427	0.0502062834	0.049244675	0.0481159803	0.0468240289	0.0453732043	0.0437684292	0.0420151486	0.0401193113	0.0380873499	0.0359261587	0.0336430707	0.0312458323	0.0287425773	0.0261417992	0.0234523225	0.0206832724	0.0178440444	0.0061809487	0.0084567021	0.0487270152	-0.0302663516	0.0724846528	-0.0202599411	-0.0030996575	-0.0029110771	0.0567733501	-0.0171810381	0	0	0	0	0	0	0	0	0	0	0
-0.013292	0.0643025	0.0676337	-0.000349942	-2.76245e-05	-0.000140697	-0.02124091	-0.0211986	-0.0100574	0.000271359	5.49089e-05	-0.00013936928	0.075778769	0.0523116647	0.0520043348	0.051493455	0.0507810249	0.0498698332	0.0487634462	0.0474661945	0.0459831556	0.0443201343	0.0424836398	0.0404808604	0.038319635	0.036008423	0.0335562706	0.0309727759	0.0282680507	0.0254526818	0.0225376886	0.0195344808	0.0164548132	0.0133107399	0.0747274059	0.0103713929	-0.051854828	0.0214010748	0.0344084224	0.0019735992	0.0027225611	-0.041712255	-0.0313425017	-0.022067045	0	0	0	0	0	0	0	0	0	0	0
-0.00611321	-0.0599444	-0.0559952	-0.000434658	-6.37646e-05	-0.000149547	0.00717879	-0.1242469	-0.1236289	-8.47160000000001e-05	-3.61401e-05	-8.85e-06	0.261539895	0.0522970337	0.0519459335	0.0513625114	0.0505493769	0.0495101664	0.0482495277	0.046773099	0.0450874833	0.0432002194	0.0411197477	0.0388553731	0.0364172225	0.0338162004	0.0310639394	0.0281727488	0.025155559	0.0220258641	0.0187976612	0.015485388	0.0121038584	0.0086681957	-0.0465806355	-0.0110255133	-0.0600857414	-0.007390984	-0.0097649484	-0.0144716413	-0.0358312833	0.0372706327	-0.0242854455	-0.0106416377	0	0	0	0	0	0	0	0	0	0	0
-0.00884742	0.0447416	0.0232623	-0.0019993	-0.000400955	-1.74938e-05	-0.00273421	0.104686	0.0792575	-0.001564642	-0.0003371904	0.0001320532	0.28837199	0.0522814288	0.0518836628	0.0512229596	0.0503026675	0.0491274505	0.0477032642	0.0460373263	0.0441380794	0.0420151486	0.0396792925	0.0371423487	0.0344171741	0.0315175794	0.0284582593	0.0252547177	0.0219231897	0.0184805588	0.0149442718	0.0113322499	0.0076627981	0.0039545126	-0.0486635918	-0.0068093009	0.0222327915	-0.045978433	-0.0241621625	0.0373392248	0.031162027	0.0103829343	0.0338063934	0.0046479147	0	0	0	0	0	0	0	0	0	0	0
-0.00880955	0.0206996	0.0946272	-0.00178692	-0.000599717	0.000251132	3.78700000000023e-05	-0.024042	0.0713649	0.00021238	-0.000198762	0.0002686258	0.12943316	0.0522648503	0.0518175273	0.0510748227	0.0500409704	0.0487218636	0.0471250218	0.0452595478	0.0431360754	0.0407667093	0.038164956	0.0353456466	0.0323248521	0.0291197926	0.025748738	0.0222309049	0.0185863463	0.0148358378	0.0110007588	0.007102971	0.0031646932	-0.0007916247	0.0433896213	0.0198142976	0.0761842928	-0.0219601964	0.0261223978	-0.0034414852	-0.0093904441	-0.0741165936	0.0483642542	-0.0084442586	0	0	0	0	0	0	0	0	0	0	0
0.00787314	0.0205497	0.050517	-0.00281926	2.91761e-05	0.000251132	0.01668269	-0.000149899999999998	-0.0441102	-0.00103234	0.0006288931	0	0.144004445	0.0522472985	0.051747532	0.0509181258	0.0497643635	0.0482935946	0.0465151882	0.044440473	0.0420826652	0.0394567845	0.0365795581	0.0334693144	0.0301458661	0.026630384	0.0229452624	0.0191139759	0.0151609305	0.0111113077	0.0069909042	0.0028259676	-0.0013569709	-0.0055312652	0.0433450254	0.0166699113	-0.0323597859	0.0803936352	0.0446883306	-0.0096004498	0.0214384868	-0.051829984	-0.0759142343	0.0004214623	0	0	0	0	0	0	0	0	0	0	0
