"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0202689	-0.0282646	6.71815e-05	0.000112189	-1.77883e-05	0.000625025	0.0056124	-0.0168341	0.0040130015	0.0001294047	8.72117e-05	-9.958e-05	0.0422693215	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0024093037	0.0028321451	-0.0093070876	0.0047595367	-0.0040068488	0.017615424	-0.0066005981	-0.0065092355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202074	-0.0282656	-0.00257157	-0.000201645	0.000115679	0.00101507	-6.15000000000025e-05	-1.00000000000447e-06	-0.0026387515	-0.000313834	0.0001334673	0.000390045	0.0445685665	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	-0.0012614387	-0.0045613385	-0.0196050507	0.0039964185	0.0140277792	0.0127263083	0.0167717752	-0.0088265063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202237	-0.0191448	-0.0255211	-0.000262246	0.000115679	0.00103956	1.63000000000003e-05	0.00912080000000001	-0.02294953	-6.0601e-05	0	2.44899999999998e-05	0.03634118	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0019026982	-0.0087574643	-0.0129323739	-0.0008242729	0.007451212	-0.0037281134	-0.0068902801	0.0104321522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202337	-0.0156713	-0.00988946	-0.000473817	0.000115679	0.000904614	9.99999999999959e-06	0.0034735	0.01563164	-0.000211571	0	-0.000134946	0.03644099	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0018767384	-0.0025115473	-0.0005675452	0.002869108	-0.0098043946	0.0139430713	-0.0202062197	0.000936848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202719	-0.0132504	-0.0246505	-0.00048472	0.000115679	0.000625025	3.82000000000021e-05	0.0024209	-0.01476104	-1.0903e-05	0	-0.000279589	0.03174474	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0010591284	-0.0044178766	-0.0065829554	0.0055381764	-0.0052200338	0.0072802409	0.0036076993	0.0029977612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202455	-0.0206672	-0.0231093	3.56339e-06	0.000115679	0.000895213	-2.64000000000028e-05	-0.0074168	0.0015412	0.00048828339	0	0.000270188	0.0469079695	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	-0.001303062	-0.003738715	-0.0126858871	-0.0021698016	-0.0023100502	0.0181581281	0.0006477697	-0.0138638137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0106085	-0.007294	-0.0111458	-0.000188244	0.000115679	0.000742324	-0.009637	0.0133732	0.0119635	-0.00019180739	0	-0.000152889	0.0522085195	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-3.93413e-05	0.0035648911	-0.0039523473	0.0088322906	0.0151136569	-0.0089655574	-0.0028125099	-0.0129314871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00249607	-0.00463193	2.01761e-05	-0.000305264	0.000115679	0.000345636	-0.01310457	0.00266207	0.0111659761	-0.00011702	0	-0.000396688	0.0526180161	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0029411913	-0.0073076914	-0.0238040273	0.0003676934	-0.01197853	0.0099649175	0.0410315204	-0.0103896528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00593289	-0.0282636	3.00802e-05	-0.000173855	-6.44902e-05	7.30777e-05	-0.00343682	-0.02363167	9.9041e-06	0.000131409	-0.0001801692	-0.0002725583	0.0562852191	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	-0.0029104531	-0.0063213673	-0.0227704144	-0.0104201233	-0.0059003818	-0.0005274472	0.0203930338	0.0041759208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00345828	0.00257098	-0.0109731	0.000159343	-8.12287e-05	7.30777e-05	0.00939117	0.03083458	-0.0110031802	0.000333198	-1.67385e-05	0	0.0687257552	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.0015065131	0.0056258356	-0.0114590368	0.0089243987	-0.0104262354	-0.0070392107	0.008684818	-0.0036152472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
