"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0314145	-0.029101	-0.0447814	0.00178589	0.000225074	0.000245537	5.87000000000018e-05	1.87999999999994e-05	0.0129139	0.00023673	0.0003145979	-0.000357549	0.058435245	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0035538836	-0.0183188991	-0.0252435298	0.0062879092	0.0039287709	0.0014749883	-0.0105656021	-0.0106797655	0.0439381309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0256798	-0.0102831	-0.0234716	0.000482461	-3.16932e-05	0.000196845	-0.0057347	0.0188179	0.0213098	-0.001303429	-0.0002567672	-4.8692e-05	0.12630681	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0025084631	-0.0162965203	-0.0128761866	-0.0115262606	-0.0029807511	-0.0008730448	0.027999488	0.0044655836	-0.0103087822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100241	-0.0290454	0.00586119	0.000882	-0.000179039	-0.000760565	-0.0156557	-0.0187623	0.02933279	0.000399539	-0.0001473458	-0.00095741	0.13896553	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0066822328	-0.0041140215	-0.0078293264	-0.014350835	-0.0037354525	-0.0097232069	0.005420938	0.001091439	0.005569981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100103	-0.00760484	-0.00722358	-0.000183822	0.000331495	-0.000760565	-1.37999999999996e-05	0.02144056	-0.01308477	-0.001065822	0.000510534	0	0.11335693	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	-0.0003717984	-0.0065086679	-0.0098416086	-0.0268155973	0.0011678419	0.0038588928	0.0146705459	0.0067092925	-0.0180862992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00999037	-0.0290492	-0.0243291	-8.52946e-05	3.75156e-05	-0.000522472	-1.99299999999996e-05	-0.02144436	-0.01710552	9.85274e-05	-0.0002939794	0.000238093	0.0700998	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0028873495	-0.0107431146	-0.0079962639	-0.0198849729	0.0057303008	0.0041377307	-0.0203845954	-0.0210506713	0.0594934285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.009947	-0.0178762	0.0178178	-0.000918969	0.000331495	-4.28616e-05	-4.33700000000009e-05	0.011173	0.0421469	-0.0008336744	0.0002939794	0.0004796104	0.13372648	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.004736586	0.0025006602	0.0090841004	-0.0102392534	-0.016602384	0.006316178	0.0164974435	0.0127091005	0.0073914533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0099882	-0.010361	0.00434164	-0.000481031	-0.00017675	-0.000158541	4.12000000000016e-05	0.0075152	-0.01347616	0.000437938	-0.000508245	-0.0001156794	0.07412568	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0018345005	0.0009456425	-0.0026089673	-0.032060027	-0.0013572155	0.0081271539	0.0275195421	0.0109111637	-0.0206541936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00998651	-0.0186885	0.0043874	0.000106968	0.000256719	-0.000158541	-1.69000000000037e-06	-0.0083275	4.57599999999997e-05	0.000587999	0.000433469	0	0.05944835	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0118478681	0.0006537701	0.0051781434	-0.0320395826	-0.0034566813	0.0063608693	0.0161337153	-0.0092640083	0.0218381437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.000272823	0.00385239	0.0043852	3.57661e-05	5.03632e-05	-0.00010484	-0.010259333	0.02254089	-2.19999999999995e-06	-7.12019e-05	-0.0002063558	5.3701e-05	0.049365358	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0054979252	0.0033426107	-0.0015512461	-0.0289292691	-0.0041288092	0.0024642476	0.0187388458	-0.0022927286	0.0007723339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00274525	0.0101122	0.0121901	-0.000282416	-9.3769e-05	-0.000158541	-0.002472427	0.00625981	0.0078049	-0.0003181821	-0.0001441322	-5.3701e-05	0.042337902	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0085856562	0.0008660715	0.0076186185	-0.04223685	0.0034851163	0.0029295404	0.0023251036	-0.0176366896	0.0380975581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
