"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-6.25e-05	-0.0482733	-0.0375242	0.000906041	0.000428247	8.61633e-05	2.91569999999999e-06	-0.0020199	-0.04182079	-0.000702609	-7.91460000000001e-05	0	0.0829313557	0.0523702023	0.0522381577	0.05201833	0.0517110885	0.0513169495	0.0508365754	0.0502707735	0.0496204944	0.048886831	0.0480710162	0.0471744208	0.0461985516	0.0451450484	0.0440156816	0.042812349	0.0415370728	0.040191996	0.0387793789	0.0373015953	0.0357611286	0.0341605674	-0.0135573459	-0.0409618668	-0.0243908294	0.0140294187	0.0225747988	-0.0069652655	-0.009877895	-0.0386690378	0.0137207934	0.0088181882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-5.20309e-05	-0.0641915	-0.0228019	0.000770806	-1.68313e-05	8.61633e-05	1.04691e-05	-0.0159182	0.0147223	-0.000135235	-0.0004450783	0	0.0596666341	0.0523604445	0.052199163	0.0519307284	0.0515556917	0.0510748227	0.0504891087	0.0497997519	0.0490081675	0.0481159803	0.0471250218	0.0460373263	0.0448551266	0.0435808493	0.0422171104	0.0407667093	0.0392326234	0.0376180017	0.0359261587	0.0341605674	0.0323248521	0.0304227813	0.0097085814	0.0244711898	0.0368388127	-0.0031740005	-0.030863585	-0.0026370387	0.0199908126	0.0301499791	0.0136581142	-0.0228035044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.11599e-05	-0.0929573	-0.0495725	0.000849706	0.000173045	8.61633e-05	-1.9129e-05	-0.0287658	-0.0267706	7.89000000000003e-05	0.0001898763	0	0.068994344	0.0523497117	0.05215628	0.0518344232	0.0513849338	0.0508089184	0.0501077956	0.0492832916	0.0483374366	0.0472725596	0.0460912827	0.0447965146	0.0433914434	0.0418795288	0.0402644936	0.0385503146	0.0367412126	0.0348416421	0.0328562806	0.0307900166	0.0286479378	0.0264353189	-0.0089981015	-0.0076020014	-0.0081326747	0.0129804747	0.0396690637	-0.0156573886	-0.0031689929	-0.0361178013	-0.016939352	0.022565365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0122956	-0.0423441	-0.0203871	0.000954591	-0.000141061	8.61633e-05	-0.0122244401	0.0506132	0.0291854	0.000104885	-0.000314106	0	0.1129725901	0.0523380039	0.052109512	0.0517294306	0.0511988656	0.0505193604	0.0496928916	0.0487218636	0.047609101	0.0463578411	0.0449717237	0.0434547811	0.0418114263	0.0400464398	0.038164956	0.0361724484	0.0340747132	0.0318778528	0.029588258	0.0272125894	0.024757758	0.0222309049	0.0080214053	0.0040499102	0.0331649253	-0.0030257128	-0.0577017042	-0.0116381469	0.032710541	0.0090038668	-0.0074097441	-0.016126627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.000203466	-0.143023	-0.0866811	0.00127065	6.11228e-05	0.000555538	0.012092134	-0.1006789	-0.066294	0.000316059	0.0002021838	0.0004693747	0.228445909	0.0523253215	0.0520588623	0.0516157682	0.0509975427	0.0502062834	0.049244675	0.0481159803	0.0468240289	0.0453732043	0.0437684292	0.0420151486	0.0401193113	0.0380873499	0.0359261587	0.0336430707	0.0312458323	0.0287425773	0.0261417992	0.0234523225	0.0206832724	0.0178440444	-0.00370167	0.0221524338	0.0290429376	0.010452884	0.063291836	0.0158856329	-0.0304169551	0.0142805011	-0.0124122746	0.004028302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0222272	-0.121042	-0.111948	0.0012309	0.000276906	0.000312699	0.022430666	0.021981	-0.0252669	-3.97499999999999e-05	0.0002157832	-0.000242839	0.094597176	0.0523116647	0.0520043348	0.051493455	0.0507810249	0.0498698332	0.0487634462	0.0474661945	0.0459831556	0.0443201343	0.0424836398	0.0404808604	0.038319635	0.036008423	0.0335562706	0.0309727759	0.0282680507	0.0254526818	0.0225376886	0.0195344808	0.0164548132	0.0133107399	-0.0497478721	-0.0320240784	-0.0167736527	0.051519663	0.0142031876	-0.013507195	-6.17772e-05	-0.048833938	0.0152707645	0.0275653966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00399961	0.00722835	-0.0500586	0.00141125	0.000338175	0.000155412	-0.02622681	0.12827035	0.0618894	0.00018035	6.1269e-05	-0.000157287	0.23633186	0.0522970337	0.0519459335	0.0513625114	0.0505493769	0.0495101664	0.0482495277	0.046773099	0.0450874833	0.0432002194	0.0411197477	0.0388553731	0.0364172225	0.0338162004	0.0310639394	0.0281727488	0.025155559	0.0220258641	0.0187976612	0.015485388	0.0121038584	0.0086681957	0.0082791495	0.0545350536	0.0199419737	-0.0096508042	-0.0467103798	0.0004464202	0.0140406932	0.0161518061	-0.0059478069	-0.0320773627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0217122	-0.124943	-0.0560968	0.0014443	0.000262949	0.000155412	0.02571181	-0.13217135	-0.00603820000000001	3.305e-05	-7.5226e-05	0	0.16933516	0.0522814288	0.0518836628	0.0512229596	0.0503026675	0.0491274505	0.0477032642	0.0460373263	0.0441380794	0.0420151486	0.0396792925	0.0371423487	0.0344171741	0.0315175794	0.0284582593	0.0252547177	0.0219231897	0.0184805588	0.0149442718	0.0113322499	0.0076627981	0.0039545126	-0.0127009081	-0.0367624476	0.0102005036	0.0078913938	0.0572099505	0.0239431804	-0.0408576015	0.0004844715	0.0040482299	0.0241633795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0154575	0.0160301	-0.011242	0.000967157	-0.000441125	-0.000166888	-0.0371697	0.1409731	0.0448548	-0.000477143	-0.000704074	-0.0003223	0.29817345	0.0522648503	0.0518175273	0.0510748227	0.0500409704	0.0487218636	0.0471250218	0.0452595478	0.0431360754	0.0407667093	0.038164956	0.0353456466	0.0323248521	0.0291197926	0.025748738	0.0222309049	0.0185863463	0.0148358378	0.0110007588	0.007102971	0.0031646932	-0.0007916247	0.0017420269	0.0128224928	-0.0257844869	0.012732586	-0.0485872958	0.0013541418	0.0176538485	-0.0218049202	0.0150604703	-0.0284945908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-8.35505e-05	-0.0967449	-0.0206881	0.00152433	5.60413e-05	0.000155412	0.0153739495	-0.112775	-0.0094461	0.000557173	0.0004971663	0.0003223	0.2064270145	0.0522472985	0.051747532	0.0509181258	0.0497643635	0.0482935946	0.0465151882	0.044440473	0.0420826652	0.0394567845	0.0365795581	0.0334693144	0.0301458661	0.026630384	0.0229452624	0.0191139759	0.0151609305	0.0111113077	0.0069909042	0.0028259676	-0.0013569709	-0.0055312652	0.0108965225	-0.0254853925	0.0266426757	-0.0170623041	0.0310220327	0.0217212397	-0.0562375895	0.0502077551	-0.0127460597	0.0371477516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
