"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"motion_outlier34"	"motion_outlier35"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0131544	0.0131953	-0.16538	0.00173358	0.00184341	-6.0057e-05	0.000613800000000003	-0.0028151	-0.000160999999999994	-0.00134469	0.00029299	0.000181446	0.0945462	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0158450888	0.0461911746	0.0870823536	0.0243946747	0.0416630666	0.07682079	-0.0440897593	-0.0259248084	0.0562042274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00603014	0.0132178	-0.183319	0.000717127	0.00195703	-0.000222859	0.00712426	2.25e-05	-0.017939	-0.001016453	0.00011362	-0.000162802	0.08972951	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0020031024	0.0450823941	0.0634304262	0.0332143396	0.0111831171	0.0584022756	-0.036770247	-0.0288100569	0.0526771716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00123445	-0.00760139	-0.175967	-0.000783253	0.00214626	-0.000308584	0.00479569	-0.02081919	0.007352	-0.00150038	0.00018923	-8.5725e-05	0.12173363	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0175373067	0.0216839798	0.0319008748	0.0212086285	0.0023928338	0.018629015	-0.013694008	-0.0355083275	0.0706349152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00611275	0.0239241	-0.164137	0.000400458	0.00195826	-0.000692396	0.0073472	0.03152549	0.01183	0.001183711	-0.000188	-0.000383812	0.13847884	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0207646448	0.0231550147	-0.002952183	0.0080154331	-0.033839701	-0.0136994412	-0.0166535881	-0.00760572	0.0218402963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00179885	0.021301	-0.164146	0.000543858	0.00162145	-0.000597546	-0.0079116	-0.0026231	-9.00000000003676e-06	0.0001434	-0.00033681	9.48500000000001e-05	0.0392967	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0267697622	0.0064583008	-0.0195096871	-0.0058956934	-0.022604075	-0.0384444177	-0.0229153811	-0.0134239785	0.0364035383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0105777	-0.0304622	-0.194428	-0.000516702	0.00290136	-0.000541886	0.01237655	-0.0517632	-0.030282	-0.00106056	0.00127991	5.566e-05	0.21422825	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0431302584	-0.00328124	-0.0314925417	-0.0103005311	-0.0466056083	-0.0447177466	0.0046230776	-0.0121018283	0.0065867094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0738141	0.0356562	-0.270387	0.0015728	-0.00136425	-0.000752027	0.0632364	0.0661184	-0.075959	0.002089502	-0.00426561	-0.000210141	0.53357645	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0253746267	-0.0192204963	0.0001284001	-0.0380505936	0.0156067428	-0.0431414753	-0.016623627	0.0109865588	0.0735924947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0416218	0.0210913	-0.0945815	0.000112209	-0.000315796	-0.000597546	-0.0321923	-0.0145649	0.1758055	-0.001460591	0.001048454	0.000154481	0.355739	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0335012731	0.0175813794	-0.0414463652	0.0159676022	-0.0581497011	0.046738936	0.1665573616	-0.0634634303	0.0084394534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0239207	0.0209433	-0.0599954	0.000249572	-0.000315796	-0.000386148	-0.0177011	-0.000147999999999999	0.0345861	0.000137363	0	0.000211398	0.06987325	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0417559635	0.0076866647	-0.0818199067	0.0140676288	-0.0728740586	-0.030446068	0.0545055872	-0.0164524031	-0.05031692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0175767	0.0457365	0.0425739	-0.000155681	-0.000696475	-0.000264389	-0.006344	0.0247932	0.1025693	-0.000405253	-0.000380679	0.000121759	0.17909105	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0368276832	0.0158240506	-0.0836760989	0.0199571073	-0.0352913164	-0.0371140927	0.0125084187	-0.0337221426	-0.0480979532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
