"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0580439	0.0155925	0.109409	-0.0002076	-0.000330779	-0.000677834	0.00288240000000001	0.0309966	-8.000000000008e-06	-0.000637033	0	0.000269437	0.0792105	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0060346961	0.0030487881	-0.0510282074	-0.044871219	-0.0325957963	0.0021733133	0.0316804753	0.0209611451	0.0653400501	-0.0311485616	0	0	0	0	0
-0.00144056	0.0229042	0.0157484	0.000538751	-0.000330779	-7.26014e-05	0.05660334	0.0073117	-0.0936606	0.000746351	0	0.0006052326	0.22515482	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0011191868	0.0155264636	-0.0062085122	-0.0185599808	-0.0310277729	-0.0014621063	-0.0052727453	-0.0060765853	-0.0001007448	-0.0066707905	0	0	0	0	0
-0.00700994	0.0365892	0.0422155	0.000190392	-0.000537458	-0.000161702	-0.00556938	0.013685	0.0264671	-0.000348359	-0.000206679	-8.91006e-05	0.07792841	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0019970975	0.0205086465	0.0103276244	0.0312132546	-0.0214773018	0.0081011053	-0.0014644245	0.0126665869	-0.0152919366	-0.0012867511	0	0	0	0	0
-0.00783521	0.00905745	0.0476052	0.000108609	-0.000848462	2.75812e-05	-0.00082527	-0.02753175	0.0053897	-8.1783e-05	-0.000311004	0.0001892832	0.06285023	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.0003812358	0.0106690083	0.0060562569	-0.0479584934	-0.024483324	0.0054266015	-0.0235195691	0.0262550698	0.0454419168	-0.0103317334	0	0	0	0	0
0.00331264	0.00382511	0.0157664	0.00019255	0.000210815	2.75812e-05	0.01114785	-0.00523234	-0.0318388	8.3941e-05	0.001059277	0	0.10537989	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0017140177	0.0115400956	0.0190756843	-0.0239577002	-0.0244379811	0.0177695899	-0.0332465655	-0.0077488759	-0.0155329232	0.0204416804	0	0	0	0	0
-0.00146659	0.0325799	0.000557823	0.000360065	7.85592e-05	2.75812e-05	-0.00477923	0.02875479	-0.015208577	0.000167515	-0.0001322558	0	0.063731137	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-0.0041356691	0.0208074077	0.0478271064	0.0025968154	0.0223910772	0.0090189453	-0.0319290622	0.0154713247	-0.013780578	-0.0386550962	0	0	0	0	0
-0.00146671	0.0236954	0.00882234	-1.28645e-05	0.000210815	2.75812e-05	-1.19999999999938e-07	-0.0088845	0.008264517	-0.0003729295	0.0001322558	0	0.042408402	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0043718323	0.0091466256	0.0281715508	-0.0123187475	0.0109570701	-2.96926e-05	-0.027772677	-0.0268207521	-0.001394492	0.0021051129	0	0	0	0	0
0.00918213	0.0269765	-0.0425847	4.95507e-05	0.000210815	0.000583566	0.01064884	0.0032811	-0.05140704	6.24152e-05	0	0.0005559848	0.09625698	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	-0.0033189638	0.0226875341	0.0208803507	0.0152225774	-0.0138642214	0.0018207185	-0.0052811687	-0.0128490356	-0.0446269857	0.0394623857	0	0	0	0	0
-0.00385988	0.03466	0.0118609	-0.000384258	0.000210815	-0.000106337	-0.01304201	0.00768350000000001	0.0544456	-0.0004338087	0	-0.000689903	0.131356695	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	-0.0017283621	0.0172694223	0.0020370612	-0.0255316526	0.0250756062	0.0041036288	0.0179491359	0.0159513372	0.0141740814	-0.0362310638	0	0	0	0	0
-0.0205263	0.0251816	0.041457	-0.000172738	-0.000230132	0.000162303	-0.01666642	-0.0094784	0.0295961	0.00021152	-0.000440947	0.00026864	0.10179627	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	-0.0030835986	0.0093414829	0.0029579939	-0.0497947796	-0.040798977	-0.0013402753	-0.0042569653	0.0232811128	0.0186768643	-0.0239100074	0	0	0	0	0
