"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0829955	-0.00698964	0.0443958	0.000593889	0.000516742	0.000234598	0.028501	-0.00156348	0.1133352	-0.000693611	0	0.0002984034	0.1930004	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0079707552	-0.0428214619	0.0047850987	-0.0353806191	0.0245002456	0.0239643883	0.0515828449	-0.0869856238	-0.0177721139	0.026333731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0312521	-0.0225123	0.126244	0.000313993	0.000516742	-0.000105591	-0.0517434	-0.01552266	0.0818482	-0.000279896	0	-0.000340189	0.18011851	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	-0.0048313353	-0.0608850546	0.0073007152	-0.0449229196	0.0464956066	0.0497030603	0.0132741035	-0.058007188	-0.0496991293	0.0229289336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0079075	-0.0557064	0.116547	-0.000581615	0.000516742	-0.000105591	-0.0233446	-0.0331941	-0.009697	-0.000895608	0	0	0.1110161	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0067659183	-0.0367309858	-0.0025689934	-0.016016872	0.0639151848	0.0139958617	0.0314938306	-0.0368361458	-0.0557135436	-0.0216952127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00183972	-0.0555653	0.117258	0.000437134	0.000516742	-0.000492007	-0.00606778	0.000141099999999991	0.000710999999999989	0.001018749	0	-0.000386416	0.07717813	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0023307272	-0.0467090258	0.0003223342	-0.0150835015	0.0507661528	-0.0090868249	-0.0129292431	-0.0003082541	0.0003177434	-0.0371629399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00808289	-0.0556083	0.123756	0.000140852	0.000516742	-0.000570354	0.00624317	-4.30000000000014e-05	0.006498	-0.000296282	0	-7.83470000000001e-05	0.03151562	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0005790768	-0.0427497904	-0.0047442218	0.0003732373	0.0883562474	-0.0184479115	0.0120550854	-0.0174359821	-0.0244270508	-0.03220792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0162728	-0.0283304	0.132977	-0.000356596	0.000737131	-0.00101212	0.00818990999999999	0.0272779	0.00922100000000002	-0.000497448	0.000220389	-0.000441766	0.10266896	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	-0.0068434859	-0.0363460902	0.0154831549	-0.0777523041	0.0046141998	-0.0533844861	-0.0212770987	0.0247600008	0.0410052449	-0.0644410856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00810558	0.0204819	0.08164	-0.000105162	0.000516742	-0.000775276	-0.00816722	0.0488123	-0.051337	0.000251434	-0.000220389	0.000236844	0.14374987	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-0.0045049257	-0.0153674202	0.0166167553	-0.0087592953	0.060277501	-0.0571525576	0.0241428608	0.0369779181	-0.0400350287	-0.0453254216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.010269	0.00456365	0.0501652	-0.000356596	-9.47865e-06	-0.000775276	-0.01837458	-0.01591825	-0.0314748	-0.000251434	-0.00052622065	0	0.1046503625	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0068416526	0.004142226	0.0025886004	-0.0556036906	-0.0167697079	-0.0299052633	0.0501827363	0.0459864497	-0.0239114619	-6.7232e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0342791	0.00461513	0.0152189	1.8238e-05	0.000596909	0.000395108	-0.0240101	5.14800000000004e-05	-0.0349463	0.000374834	0.00060638765	0.001170384	0.1665881625	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0019170653	0.0344967004	0.0029980998	0.0432667151	0.0277090585	-0.0552774299	0.0298359263	0.0525283657	-0.0099096405	0.0184068352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0104339	-0.0181404	-0.0154817	7.85084e-05	0.000346184	0.000395108	0.0238452	-0.02275553	-0.0307006	6.02704e-05	-0.000250725	0	0.0928511	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0003011826	0.0537381767	0.0065903444	0.0211549728	-0.0362647198	0.017427866	-0.0210804603	0.0462635742	0.0270566342	0.0332013007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
