"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.265078	0.00945352000000001	0.176978	0.00531262	-0.00282109	-0.000821433	0.0109300000000001	0.01936187	0.1150796	-0.00042204	-0.00036836	0.000526757	0.21122932	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0065993251	-0.0360869185	0.062074297	0.03610217	0.0843159972	-0.0531412183	0.0048025493	0.0160357239	0.0238723454	-0.0565295845	0	0	0	0	0	0	0	0	0	0	0	0
0.274067	0.0208705	0.111879	0.00611125	-0.00292997	-0.00145977	0.00898899999999997	0.01141698	-0.065099	0.000798630000000001	-0.00010888	-0.000638337	0.16279733	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0046876336	0.0253357805	-0.006057587	0.0386959212	0.0105287268	0.0192260224	0.0291797263	0.0030288494	0.0118584165	-0.0062848845	0	0	0	0	0	0	0	0	0	0	0	0
0.236937	0.023319	0.174335	0.00505888	-0.00248159	-0.00174269	-0.03713	0.0024485	0.062456	-0.00105237	0.00044838	-0.00028292	0.191218	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0127176828	0.0484348881	-0.0009676153	-0.0175885282	0.0601764852	0.0243382786	-0.0470867776	0.0242065196	0.0410853902	-0.0698014315	0	0	0	0	0	0	0	0	0	0	0	0
0.257557	-0.00906597	0.211645	0.00561038	-0.00263637	-0.00145857	0.0206200000000001	-0.03238497	0.03731	0.0005515	-0.00015478	0.00028412	0.13983497	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0156366357	-0.0495469326	-0.046352472	0.0302250843	-0.060425191	0.0173549506	0.0781594477	0.0317272875	0.0135229021	0.0253479845	0	0	0	0	0	0	0	0	0	0	0	0
0.187205	0.0211162	0.181271	0.00464075	-0.00282139	-0.00176257	-0.0703520000000001	0.03018217	-0.030374	-0.00096963	-0.00018502	-0.000304	0.20384067	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0563219285	0.0755254864	0.0061032693	-0.0058715574	-0.002240743	0.0334478142	-0.04726453	-0.0339755911	0.0545345566	-0.0146326697	0	0	0	0	0	0	0	0	0	0	0	0
0.208591	-0.0014792	0.135642	0.00590781	-0.00270622	-0.00125483	0.021386	-0.0225954	-0.045629	0.00126706	0.00011517	0.00050774	0.1841089	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	-0.0457339299	-0.0731110387	-0.0392281484	-0.0361851639	-0.0483507791	-0.0088584785	0.0068722396	0.04224537	-0.0281049512	0.051215249	0	0	0	0	0	0	0	0	0	0	0	0
0.164896	0.272509	-0.703811	0.0280787	-9.95901e-05	0.00106215	-0.043695	0.2739882	-0.839453	0.02217089	0.0026066299	0.00231698	2.511861195	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-0.1002246936	0.0454002371	0.0179093827	0.0727284444	0.003901126	0.0844853462	0.0091614588	0.0014019395	0.2431677281	-0.0391909914	1	0	0	0	0	0	0	0	0	0	0	0
0.0717251	0.00355552	-1.31379	0.0334237	0.00236412	0.00415558	-0.0931709	-0.26895348	-0.609979	0.00534499999999999	0.0024637101	0.00309343	1.517210385	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0790229242	0.0781180973	0.0418496023	-0.0031176425	0.115650657	0.1875942222	0.01491532	0.0482249162	0.2581235381	-0.0948403286	0	1	0	0	0	0	0	0	0	0	0	0
0.00375261	-0.0880613	-0.34828	0.00371749	-0.00016866	0.00130969	-0.06797249	-0.09161682	0.96551	-0.02970621	-0.00253278	-0.00284589	2.87934331	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	-0.1463444508	-0.0020249682	0.0017473094	0.0044794471	0.0054396838	0.0448678022	-0.0687737175	-0.0132067818	-0.0707936467	0.0401902478	0	0	1	0	0	0	0	0	0	0	0	0
-0.0131101	-0.0479159	-0.0439655	1.12131e-05	0.000623199	-0.000277334	-0.01686271	0.0401454	0.3043145	-0.0037062769	0.000791859	-0.001587024	0.665580605	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0089006506	-0.0214055267	-0.0056711442	-0.0306764513	0.1060220982	-0.0117645673	-0.035155091	0.0580149315	-0.0372142811	-0.0162846215	0	0	0	0	0	0	0	0	0	0	0	0
