"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.000147558	0.00930946	-0.0384451	-0.000730898	5.68851e-05	-0.000115177	-0.022684658	0.02385556	-0.0139133	0.00018769	-9.08629e-05	0	0.074381163	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.001227551	-0.0036531141	0.006616886	0.0020337387	0.010435364	0.0714778677	-0.0417904274	0	0	0	0	0	0
-0.00018192	-0.0607221	0.0162638	-0.00084426	0.000459218	0.000106797	-3.4362e-05	-0.07003156	0.0547089	-0.000113362	0.0004023329	0.000221974	0.161658267	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0028303274	0.0340694319	-0.0411456172	-0.0625439985	-0.0087103347	0.0519615688	0.0289967655	0	0	0	0	0	0
-0.000211689	-0.00524367	0.0163197	-0.000465305	0.0002012	0.000302493	-2.9769e-05	0.05547843	5.58999999999976e-05	0.000378955	-0.000258018	0.000195696	0.097197549	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0058019674	0.0199213684	-0.0140684439	-0.017353033	-0.0047646043	0.0558212732	0.0046255927	0	0	0	0	0	0
-0.000139975	-0.0237657	-0.0236135	-0.00120217	0.000227577	-9.26509e-05	7.1714e-05	-0.01852203	-0.0399332	-0.000736865	2.6377e-05	-0.0003951439	0.116446239	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0039062098	0.0152183404	-0.0222758192	-0.0248978661	-0.0103273467	0.0800482729	0.0252860284	0	0	0	0	0	0
-0.000167021	-0.0237675	0.00990367	-0.000960321	-7.03513e-05	-0.000155302	-2.7046e-05	-1.79999999999972e-06	0.03351717	0.000241849	-0.0002979283	-6.26511e-05	0.063667436	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0013896788	0.0330287026	-0.045437489	-0.0396066049	-0.0429947133	-0.0076509852	0.0608530586	0	0	0	0	0	0
0.0136716	0.0156785	-0.0166007	-0.00120217	0.000360009	-0.000318474	0.013838621	0.039446	-0.02650437	-0.000241849	0.0004303603	-0.000163172	0.121558056	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0008654905	0.0140346633	-0.0187590078	0.0124910516	-0.0223010277	-0.0049092073	0.0234106635	0	0	0	0	0	0
-0.000155791	-0.0425325	0.00414751	-0.000669847	0.000357118	-0.000155302	-0.013827391	-0.058211	0.02074821	0.000532323	-2.89099999999998e-06	0.000163172	0.127705901	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0027860838	0.0277980337	-0.0154856741	-0.0054568689	-0.0232141338	-0.0200312483	0.0398418051	0	0	0	0	0	0
-0.000156099	0.0249377	-0.0171072	-0.000626602	0.000357118	-0.000208055	-3.07999999999971e-07	0.0674702	-0.02125471	4.3245e-05	0	-5.2753e-05	0.093525118	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.000802173	0.0112792528	-0.0030808016	0.0225562457	-0.0120851351	-0.0388205756	0.018678527	0	0	0	0	0	0
-0.000152206	-0.0221613	0.0255179	-0.000330008	0.000246859	-0.000155302	3.89299999999998e-06	-0.047099	0.0426251	0.000296594	-0.000110259	5.2753e-05	0.112708293	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0049072493	0.0361186612	-0.0172822373	0.0262029425	-0.0318098648	-0.0558977673	0.0117027335	0	0	0	0	0	0
-0.000155791	0.0339268	-0.0231057	-0.000855192	0.000357118	-0.000155302	-3.58500000000001e-06	0.0560881	-0.0486236	-0.000525184	0.000110259	0	0.136487435	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.0026224662	0.0063158152	-0.0101566117	0.0607400333	-0.0362132171	-0.0340960046	-0.0049412056	0	0	0	0	0	0
