"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0547226	0.0155043	-0.014443	0.000666839	-0.000405788	0.000645616	0.0106979	0.02291113	-0.01917051	-0.000472851	-0.0004587807	-6.01789999999999e-05	0.102370075	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0127512921	-0.0029702277	0.011388355	-0.006051382	-0.0198618698	0.0092790045	-0.051418186	0.0005908687	0.0185653574	-0.021971141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0547046	-6.13565e-05	0.0133546	0.000872816	-0.000387234	0.00082469	-1.80000000000111e-05	-0.0155656565	0.0277976	0.000205977	1.8554e-05	0.000179074	0.0635615065	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	-0.0182824535	-0.0083379541	0.0135247391	0.0037466753	3.70147e-05	0.0071963892	-0.0492522843	-0.0075401205	0.0227694435	-0.0068528634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07214	-7.48997e-05	-0.00379592	0.000954104	-0.000481383	0.000956087	0.0174354	-1.35432e-05	-0.01715052	8.12880000000001e-05	-9.4149e-05	0.000131397	0.0499411632	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0027173602	-0.0227867707	0.0151149594	0.0225375353	-0.0041991646	0.0228480037	-0.0515716032	-0.0121584275	-0.0135759481	-0.0051551309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0654481	0.0221092	-0.0109028	0.000809371	-0.000586554	0.00082469	-0.00669189999999999	0.0221840997	-0.00710688	-0.000144733	-0.000105171	-0.000131397	0.0550479297	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0184904776	-0.027004275	0.0277065279	0.0434236085	-0.0182016364	0.0440473365	-0.0597127113	-0.0041594173	-0.0431424386	-0.0373015528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0507748	0.0144953	0.00705225	0.000954104	-0.000387234	0.00082469	-0.0146733	-0.0076139	0.01795505	0.000144733	0.00019932	0	0.0574449	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0327092152	-0.0361249043	0.0431783754	0.0338629328	-0.0082172445	0.0617782727	-0.0525512014	0.0156105073	-0.0226865666	0.0372112332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.050782	-7.40343e-05	0.00471814	0.00103067	-0.000304596	0.000824691	7.19999999999887e-06	-0.0145693343	-0.00233411	7.65659999999998e-05	8.26380000000001e-05	1.00000000001575e-09	0.0248708943	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0550279735	-0.0352144435	0.041977714	0.0199165225	-0.0297402922	0.064921375	-0.0585893001	-0.012019171	-0.0559254655	0.0359665949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0507998	0.0188848	-0.0111304	0.000828216	-0.000183324	0.00082469	1.78000000000053e-05	0.0189588343	-0.01584854	-0.000202454	0.000121272	-1.00000000001575e-09	0.0510115243	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0688221997	-0.0379216234	0.0572903696	0.0141834142	-0.0539757276	0.0802602954	-0.0271871234	-0.0135738525	-0.0746966129	0.0044274145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0508179	0.0247547	0.00597492	7.04249e-05	-0.000292687	0.000642271	1.81000000000001e-05	0.0058699	0.01710532	-0.0007577911	-0.000109363	-0.000182419	0.075471975	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0539845298	-0.0311433618	0.0561605253	-0.0180750295	-0.0430995988	0.0888175226	-0.0013631303	0.0076321173	-0.0195549712	0.0531871361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.000916888	0.0295927	0.0116535	-0.000734742	0.000269556	0.000152731	-0.051734788	0.004838	0.00567858	-0.0008051669	0.000562243	-0.00048954	0.155098863	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0412727695	-0.0073190622	0.0389825143	-0.0436270553	-0.0268908775	0.0743135055	0.0119426271	0.0140279257	0.0001142471	0.0975088948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0211757	-0.000108852	0.00586149	0.000397215	0.000306967	-0.000459986	-0.020258812	-0.029701552	-0.00579201	0.001131957	3.7411e-05	-0.000612717	0.144856624	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0502212705	-0.0081513323	0.0317227694	-0.0280957972	-0.0252555079	0.0650199798	0.0296114466	0.012574287	-0.0312218732	0.0603656265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
