"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0106205	0.00306161	0.0562108	-0.000562593	-0.000256543	-7.28978e-05	-0.0106504496	0.0068294	-0.0123836	0	-0.0001647633	0	0.0381016146	0.0510689819	0.0502805367	0.0489754657	0.0471671784	0.0448742547	0.042120254	0.0389334734	0.0353466565	0.0313966575	0.0271240621	0.0225727706	0.0177895469	0.012823538	0.007725769	0.0025486187	-0.0026547183	-0.0078307784	-0.0129263783	-0.0178891614	-0.0226681358	-0.0272141981	-0.0314806383	-0.0235632121	-0.0336660734	0.0236708889	-0.0246647278	-0.0476434218	0.046629946	0.029767084	0.0192129307	0.008043906	0.0551268404	0	0	0	0	0	0	0	0
-0.0106205	0.0256312	0.0972729	-0.00131561	-0.000256543	-7.28978e-05	0	0.02256959	0.0410621	-0.000753017	0	0	0.10128254	0.051047035	0.0501932186	0.048780754	0.046825362	0.0443488058	0.0413786495	0.0379479508	0.0340948932	0.029862361	0.0252974622	0.0204510037	0.0153769266	0.0101317049	0.0047737179	-0.0006374004	-0.0060414244	-0.0113782077	-0.016588352	-0.0216138688	-0.0263988242	-0.030889962	-0.0350372959	-0.0268847777	-0.0141378866	-0.0389999871	0.0094326201	-0.0283444262	0.01685704	-0.0772630678	0.0260069863	-0.0293488552	-0.04133853	0	0	0	0	0	0	0	0
-0.0106205	-0.0166548	0.12153	-0.00145574	-0.000256543	-7.28978e-05	0	-0.042286	0.0242571000000001	-0.00014013	0	0	0.0735496	0.0510242134	0.0501024608	0.0485785209	0.0464707102	0.0438043627	0.0406115256	0.0369305738	0.0328057493	0.0282866287	0.0234275279	0.018286849	0.0129263783	0.007410544	0.0018056415	-0.0038209632	-0.0094016433	-0.0148693239	-0.0201582885	-0.0252049683	-0.0299487067	-0.0343324881	-0.0383036235	-0.0262914152	-0.0289743963	-0.0381967618	-0.0146919796	0.0828390279	-0.0212833265	-0.0095875712	0.0180584652	0.016046459	-0.0014751793	0	0	0	0	0	0	0	0
-0.0164751	-0.027537	0.0889927	-0.00183862	-0.000101541	-7.28978e-05	-0.0058546	-0.0108822	-0.0325373	-0.00038288	0.000155002	0	0.0761682	0.0510005177	0.0500082695	0.0483687975	0.0461033203	0.0432411585	0.0398193552	0.0358821964	0.0314806383	0.0266716472	0.0215174627	0.016084792	0.0104439465	0.004667932	-0.0011684964	-0.0069898018	-0.0127206428	-0.018286849	-0.0236163807	-0.0286402612	-0.03329347	-0.0375157835	-0.0412525551	-0.036517424	-0.0804018772	0.0250484494	-0.0419057555	-0.0257207995	0.0421737333	0.0052312045	0.0465457034	-0.0096223293	0.0017757922	0	0	0	0	0	0	0	0
-0.0151846	0.0172914	0.121504	-0.00212505	-9.89472e-05	-1.47542e-07	0.00129049999999999	0.0448284	0.0325113	-0.00028643	2.59380000000002e-06	7.2750258e-05	0.0967189029	0.0509759483	0.0499106512	0.0481516161	0.0457232929	0.0426594344	0.0390026269	0.0348036986	0.0301210128	0.0250196571	0.0195705382	0.0138493968	0.0079357543	0.001911808	-0.0041387117	-0.0101317049	-0.0159838716	-0.0216138688	-0.026943442	-0.0318985121	-0.0364102058	-0.0404158122	-0.0438596552	-0.0273494579	-0.0464223219	-0.0191673824	-0.0006728464	-0.0458484812	0.0327220917	-0.0326728546	0.0224211045	-0.0074379744	0.0252990268	0	0	0	0	0	0	0	0
-0.0106305	0.00638383	0.137735	-0.00211736	-0.000189154	-7.28978e-05	0.0045541	-0.01090757	0.016231	7.68999999999987e-06	-9.02068e-05	-7.2750258e-05	0.0402250229	0.0509505055	0.0498096126	0.0479270103	0.0453307324	0.0420594396	0.0381618445	0.0336959856	0.0287283636	0.0233329509	0.0175900897	0.0115852966	0.0054079881	-0.0008498502	-0.0070950334	-0.0132345652	-0.0191770227	-0.0248339173	-0.0301210128	-0.0349595797	-0.0392775675	-0.0430106775	-0.0461033203	-0.0370826712	-0.0556032647	-0.0300291158	0.0038012089	0.0244130184	0.0144908558	-0.077781773	0.0358084193	-0.0010884534	-0.047845214	0	0	0	0	0	0	0	0
-0.0106205	-0.015637	0.146245	-0.00236689	-0.000256543	-7.28978e-05	1.00000000000013e-05	-0.02202083	0.00851000000000002	-0.00024953	-6.73889999999999e-05	0	0.04638678	0.0509241898	0.0497051606	0.0476950147	0.0449257461	0.041441431	0.0372975264	0.0325599874	0.0273042176	0.0216138688	0.0155795096	0.0092971841	0.0028668829	-0.0036090482	-0.010027537	-0.0162864257	-0.0222860966	-0.0279310578	-0.0331314631	-0.0378045419	-0.0418759166	-0.0452807864	-0.0479649587	-0.0172612063	-0.0249243631	-0.0081185991	-0.0625977956	0.0728618297	-0.0378025681	-0.0181156478	0.0246516937	0.0312002984	0.0364437412	0	0	0	0	-1.73055635693617	-1.75211916401208	-2.22840312389761	-1.68540061352814
-0.0106237	-0.0101407	0.169089	-0.0017054	-0.000256543	4.71698e-05	-3.20000000000181e-06	0.0054963	0.0228439999999999	0.00066149	0	0.0001200676	0.06742138	0.0508970017	0.0495973023	0.0474556651	0.0445084453	0.0408056734	0.0364102058	0.0313966575	0.0258501361	0.0198647963	0.013542242	0.0069898018	0.0003187063	-0.0063577993	-0.0129263783	-0.0192755259	-0.0252974622	-0.030889962	-0.03595809	-0.0404158122	-0.0441874568	-0.0472089983	-0.0494291445	-0.0409608276	-0.0705379304	-0.0303625426	-0.0221948783	-0.0165019977	0.0131228751	0.0157040341	0.072020095	0.0241940378	0.0122366914	0	0	0	0	-0.264572536144127	-1.14298570443982	-2.22840312389761	-1.68540061352814
-0.0189794	-0.00117968	-0.0445157	0.000416168	0.000213762	0.00042681	-0.0083557	0.00896102	-0.2136047	0.002121568	0.000470305	0.0003796402	0.37949708	0.0508689416	0.0494860452	0.0472089983	0.0440789442	0.040152439	0.0355004298	0.0302069725	0.0243677133	0.0180881602	0.0114817767	0.004667932	-0.0022302563	-0.0090881467	-0.0157818258	-0.0221903471	-0.0281979168	-0.0336959856	-0.0385852104	-0.042777249	-0.0461963565	-0.048780754	-0.0504837447	0.0038648334	-0.0011309361	-5.67871e-05	0.0173840439	-0.0310181806	0.0209140691	-0.0115380878	-0.0598160561	-0.0135383577	-0.0163959688	0	0	0	0	-0.197446070710621	-1.1272811059612	-2.22840312389761	-1.68540061352814
-0.0291952	-0.00840343	-0.232301	0.00360216	0.000584486	-7.28978e-05	-0.0102158	-0.00722375	-0.1877853	0.003185992	0.000370724	-0.0004997078	0.40804604	0.05084001	0.0493713969	0.0469550524	0.0436373605	0.0394820076	0.0345687596	0.0289919311	0.0228585745	0.0162864257	0.0094016433	0.0023363873	-0.0047737179	-0.011792187	-0.0185842938	-0.0250196571	-0.0309747441	-0.0363352411	-0.0409982483	-0.0448742547	-0.0478888566	-0.0499841859	-0.0511200208	0.0729060311	0.0820178545	-0.0043106852	0.002147382	0.0115336515	-0.0626540064	0.0609547791	-0.1561534395	-0.0299752037	0.0438548524	0	0	0	0	0.143180447950853	-1.30665579866475	-2.22840312389761	-1.68540061352814
-0.0105791	-0.0164369	-0.110991	0.00275745	0.000222176	-7.28978e-05	0.0186161	-0.00803347	0.12131	-0.00084471	-0.00036231	0	0.20831057	0.0508102074	0.0492533652	0.0466938665	0.0431838154	0.0387946664	0.0336157698	0.027752553	0.0213243743	0.0144620929	0.0073054049	0	-0.0073054049	-0.0144620929	-0.0213243743	-0.027752553	-0.0336157698	-0.0387946664	-0.0431838154	-0.0466938665	-0.0492533652	-0.0508102074	-0.0513327002	0.0302938102	0.0486188539	0.0010926052	0.0143830218	-0.0364165029	-0.0053607592	0.0440135377	-0.0357776929	-0.0235237173	-0.0091538511	0	0	0	0	-0.519957300384116	-1.39824731345061	-2.22840312389761	-1.68540061352814
0.0152808	-0.0357244	-0.0830188	0.0021657	-2.04987e-05	0.000125074	0.0258599	-0.0192875	0.0279722	-0.00059175	-0.0002426747	0.0001979718	0.124739425	0.0507795342	0.0491319582	0.046425481	0.0427184332	0.0380907096	0.032642048	0.0264898788	0.0197667948	0.0126176931	0.0051966525	-0.0023363873	-0.0098190728	-0.0170901359	-0.0239928691	-0.0303785035	-0.0361094147	-0.0410620891	-0.0451297856	-0.0482248365	-0.0502805367	-0.0512525814	-0.0511200208	0.0322638988	0.0510813995	0.0235315923	0.0032635391	-0.0268257344	-8.8955e-06	0.0328670938	-0.0463927194	-0.0278764552	0.0373272739	0	0	0	0	-0.91044886702482	-1.0036913577913	-2.22840312389761	0.592443852028073
0.00751094	-0.0122256	-0.05819	0.00158326	5.71813e-05	0.000262493	-0.00776986	0.0234988	0.0248288	-0.00058244	7.768e-05	0.000137419	0.09597441	0.0507479912	0.0490071843	0.0461499372	0.0422413413	0.0373704389	0.0316481948	0.0252049683	0.0181875435	0.0107557855	0.0030789983	-0.004667932	-0.0123085215	-0.0196687086	-0.0265808199	-0.0328873894	-0.0384447462	-0.0431262874	-0.046825362	-0.0494577007	-0.050963336	-0.0513079677	-0.0504837447	0.0154883887	0.0434106481	0.0177866473	-0.0005971982	-0.0529557481	0.0169567034	-0.0076830135	-0.0254758692	-0.0325731092	0.0188924873	0	0	0	0	-0.710799131679954	-0.590020067271829	-2.22840312389761	-1.68540061352814
