"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0079705	-0.0290982	-0.00387847	0.000352318	0	-0.000166395	0.00534013	-0.0108516	-0.01929207	0.000167141	0	-0.00040178	0.06392985	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	0.0222015084	-0.0035409834	-0.0255159559	-0.0205166668	-0.0119774139	-0.0163240404	0.001873016	0.0380008863	0	0	0	0
0.00264813	0.0137076	0.0399667	-0.00066861	-0.000122116	-5.49306e-05	-0.00532237	0.0428058	0.04384517	-0.001020928	-0.000122116	0.0001114644	0.15469876	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0220712878	-0.0363822078	-0.0228596279	-0.0317539273	-0.0416908683	-0.012010603	0.0231104137	0.0076503369	0	0	0	0
0.00265746	-0.029152	0.0534072	-0.000813325	-0.000127853	-0.000166395	9.3300000000001e-06	-0.0428596	0.0134405	-0.000144715	-5.73699999999999e-06	-0.0001114644	0.06940525	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	0.0245141298	-0.0458055287	-0.0040216035	-0.0328079899	-0.0472339874	-0.0032140059	-0.0182326898	0.0168633791	0	0	0	0
0.0196902	-0.0462823	0.0178202	-0.000450244	0	-0.000166395	0.01703274	-0.0171303	-0.035587	0.000363081	0.000127853	0	0.09429674	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	0.0087149563	-0.0520448108	-0.0081234668	-0.0103153484	-0.0492645322	-0.0018571932	0.0042347368	0.0013870336	0	0	0	0
0.0062452	-0.0117788	0.0481241	-0.00110754	0	-0.000166395	-0.013445	0.0345035	0.0303039	-0.000657296	0	0	0.1111172	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	-0.0017979511	-0.069620254	-0.0160404073	-0.0129937396	-0.0617186679	0.0303224448	-0.0045393043	-0.0117428297	0	0	0	0
0.0133202	-0.0291846	0.024513	-0.000758694	0	-0.000166395	0.007075	-0.0174058	-0.0236111	0.000348846	0	0	0.0655342	0.0520108938	0.0509138886	0.0491026536	0.0466025972	0.0434487905	0.0396854757	0.0353654455	0.030549302	0.025304607	0.0197049341	0.0138288366	0.0077587455	0.0015798132	-0.004621281	-0.010757547	-0.016742904	-0.0224933884	-0.0279283311	-0.0329714899	-0.0375521182	-0.0416059582	0.0011933869	-0.0367396539	0.0003763055	-0.0080347475	-0.0363487758	0.0257229993	-0.0134216214	-0.017327404	0	0	0	0
0.00084694	0.026581	0.0398171	-0.000985322	-0.000158224	-0.000166395	-0.01247326	0.0557656	0.0153041	-0.000226628	-0.000158224	0	0.10278556	0.0519837232	0.0508059967	0.048862844	0.0461835398	0.0428084497	0.0387884217	0.0341840202	0.0290646136	0.0235073292	0.0175958911	0.0114193591	0.0050707869	-0.0013541801	-0.0077587455	-0.0140464202	-0.0201224762	-0.0258953737	-0.03127814	-0.0361896802	-0.0405559987	-0.044311314	0.0077164448	0.0126449792	0.0099279942	-0.0124707545	0.0233372929	0.0171951609	-0.0074021717	-0.0426368676	0	0	0	0
0.000840813	-0.0285995	0.00103604	-0.000261641	0	-0.000166395	-6.12699999999998e-06	-0.0551805	-0.03878106	0.000723681	0.000158224	0	0.138062937	0.0519555872	0.0506943307	0.0486148674	0.0457507597	0.0421482344	0.0378654364	0.0329714899	0.0275453833	0.021674694	0.015454175	0.0089842256	0.0023692706	-0.0042839244	-0.0108679768	-0.01727662	-0.0234064185	-0.0291584371	-0.0344398384	-0.0391653804	-0.0432587929	-0.0466540082	-0.0089539297	-0.0219725062	0.045384861	0.0183259307	-0.0251230597	0.0137026233	-0.0253860932	-0.0316172748	0	0	0	0
0.000850025	0.0225132	0.0412559	-0.00135288	-0.000192098	-0.000271458	9.21199999999998e-06	0.0511127	0.04021986	-0.001091239	-0.000192098	-0.000105063	0.160761772	0.0519264863	0.0505788988	0.0483587652	0.0453043854	0.0414684511	0.0369171367	0.0317289578	0.0259934166	0.0198094581	0.0132837629	0.0065289069	-0.0003385804	-0.0072002268	-0.0139376608	-0.0204346535	-0.0265791242	-0.0322650733	-0.0373944116	-0.0418786518	-0.0456404355	-0.0486148674	-0.0270023973	0.0395488729	0.0221545922	0.0321677657	0.0326826203	-0.0003374042	0.0011256281	-0.0449885897	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
0.017571	-0.0252808	0.0113501	-0.000229679	0	-0.000166395	0.016720975	-0.047794	-0.0299058	0.001123201	0.000192098	0.000105063	0.165438875	0.051896421	0.0504597097	0.0480945804	0.0448445497	0.0407694154	0.0359441567	0.0304575546	0.024410558	0.0179144269	0.0110886847	0.0040589197	-0.0030455261	-0.0100939368	-0.0169566271	-0.0235073292	-0.0296255153	-0.0351986159	-0.0401240904	-0.044311314	-0.0476832451	-0.050177843	-0.0236614249	0.0498568762	-0.0067216304	0.0172070888	0.0494537531	0.0049626339	-0.0127065878	0.007516295	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
