"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.00243663	-0.0201104	-0.0751465	-0.00064842	0.00102416	-0.000536787	0.02099587	0.0124921	0.0123639	-0.000917993	0.000399672	-5.0505e-05	0.11426037	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	0.055102165	0.0290019112	0.0070965316	-0.0259144553	0.0003326191	0.0040711737	0.0144697763	0.0727959579	0	0	0	0
0.00430718	-0.0359809	-0.0770098	-0.00064842	0.00197718	-0.000536787	0.00674381	-0.0158705	-0.0018633	0	0.00095302	0	0.07212861	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	0.0418976116	-0.0150608238	-0.0255009623	0.0096339436	-0.0228504597	-0.0277452131	-0.0155831773	0.1020668356	0	0	0	0
0.0173211	-0.075114	-0.155672	-0.000261845	0.00187816	6.79974e-05	0.01301392	-0.0391331	-0.0786622	0.000386575	-9.90199999999998e-05	0.0006047844	0.18532819	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	0.0158107182	-0.053747717	-0.0478373531	0.0025279693	-0.0703647774	-0.0183495487	-0.0692806762	0.0506053565	0	0	0	0
0.0173617	-0.0722163	-0.0927316	-0.000396213	0.00164602	-0.000178194	4.06000000000018e-05	0.00289770000000003	0.0629404	-0.000134368	-0.00023214	-0.0002461914	0.09651367	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	-0.0469169714	0.0182054517	-0.0255698472	0.0423493369	0.0192050884	-0.0183432494	-0.0069185999	0.00559206	0	0	0	0
0.0322951	-0.0469083	-0.00114637	-0.000302259	0.000810308	0.000179969	0.0149334	0.025308	0.09158523	9.3954e-05	-0.000835712	0.000358163	0.19621808	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	-0.0031238736	-0.0168939266	0.0528297136	0.0200041318	-0.0220137743	0.0266739625	0.0715651462	0.0085170112	0	0	0	0
0.025098	-0.0468936	0.0169414	-0.000255107	0.000810308	0.000190615	-0.00719709999999999	1.46999999999994e-05	0.01808777	4.7152e-05	0	1.0646e-05	0.02818947	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	0.0081666536	-0.0344702178	-0.0427772547	-0.0160960364	-0.0594423185	-0.0550809583	0.0352301818	0.0303653279	0	0	0	0
0.017401	-0.0377741	0.0198981	-0.00022654	0.000703438	5.30315e-05	-0.007697	0.0091195	0.0029567	2.8567e-05	-0.00010687	-0.0001375835	0.033424225	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	-0.0551116326	0.0050488288	-0.0160816257	0.0659429029	-0.0047924874	-0.0393157824	0.0346850043	0.011578849	0	0	0	0
0.0174431	-0.0101382	0.00752056	7.48491e-05	0.000403025	0.000177947	4.20999999999998e-05	0.0276359	-0.01237754	0.0003013891	-0.000300413	0.0001249155	0.07639142	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	-0.0186898174	-0.0413578704	0.0434661992	0.0320141095	-0.0519822672	0.0204274223	0.0616364719	0.0417729272	0	0	0	0
0.0174601	0.00533543	0.0121226	0.000197462	0.000369882	0.000184088	1.69999999999997e-05	0.01547363	0.00460204	0.0001226129	-3.3143e-05	6.14100000000001e-06	0.028187515	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	-0.012011274	-0.0641591076	-0.0299242866	0.001915063	-0.0712057936	-0.0438173241	0.023471301	0.0020858434	0	0	0	0
0.0028773	0.000736294	-0.00117691	-0.000208542	0.00025905	0.000134762	-0.0145828	-0.004599136	-0.01329951	-0.000406004	-0.000110832	-4.9326e-05	0.060789546	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	-0.0717396673	-0.0201196673	-0.0235282403	0.0675359498	-0.0143350959	-0.0534385113	0.0248419262	-0.0079509453	0	0	0	0
