"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.024783	-0.0410282	-0.106338	0.000609503	0.000973446	0.000531678	0.02292306	-0.04454615	-0.0667654	-0.000329601	9.00090000000003e-05	0.0004789474	0.17916248	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	0.0116910707	-0.0676898463	-0.0566259557	0.05939139	0.026137362	-0.0138961695	0.0839735772	-0.0914726753	0.0373153287	0	0	0	0	0	0
-0.00547683	-0.0498439	-0.0385181	0.00170119	0.000834437	0.000154803	-0.03025983	-0.0088157	0.0678199	0.001091687	-0.000139009	-0.000376875	0.18727398	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	0.0299917175	-0.0676142518	-0.0685766648	0.0144990977	0.0401033979	0.0009938896	0.0596180002	-0.0254434693	-0.0190560428	0	0	0	0	0	0
-0.00548087	-0.0486938	-0.0352594	0.00154827	0.000507628	9.97812e-05	-4.03999999999943e-06	0.0011501	0.0032587	-0.00015292	-0.000326809	-5.50217999999999e-05	0.03115038	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	0.047692928	-0.0530818338	-0.0137356584	0.0016806709	0.0539491778	0.0063949217	0.0149969137	-0.0244145876	-0.0196047344	0	0	0	0	0	0
-0.00547289	-0.0395468	-0.0325177	0.00119899	0.000612533	9.97812e-05	7.97999999999945e-06	0.009147	0.00274169999999999	-0.00034928	0.000104905	0	0.03460593	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	0.0100254925	-0.0515341021	0.0391829134	-0.0111358977	0.056966258	-0.0346447033	-0.0185995115	-0.0333594601	-0.0119015518	0	0	0	0	0	0
-0.00545299	-0.030044	-0.035334	0.0011613	0.000835142	-7.05086e-05	1.99000000000006e-05	0.0095028	-0.00281629999999999	-3.76899999999995e-05	0.000222609	-0.0001702898	0.03386844	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	-0.0460433212	-0.0353158347	0.0152825861	0.0049725793	-0.0112268329	-0.0686270357	-0.0119685528	-0.027377754	-0.0102702869	0	0	0	0	0	0
-0.00546594	-0.0251774	-0.0199674	0.0011613	0.000596553	-3.36217e-05	-1.29500000000003e-05	0.0048666	0.0153666	0	-0.000238589	3.68869e-05	0.034019945	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	-0.0344537316	-0.0223045594	-0.0230282039	0.0003491356	-0.017877492	-0.0428759893	0.0376749539	-0.0062709914	-0.0206426517	0	0	0	0	0	0
0.0281618	0.00592938	-0.0353814	0.000458603	0.00054746	9.97813e-05	0.03362774	0.03110678	-0.015414	-0.000702697	-4.90929999999999e-05	0.000133403	0.12440817	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	-0.0161353235	-0.0100146703	-0.0387164864	0.0081544571	-0.0072937521	-0.010558785	0.0388630182	0.0002395039	-0.0044554207	0	0	0	0	0	0
0.021239	0.000433211	-0.00230037	0.000634129	0.000318214	9.97812e-05	-0.0069228	-0.005496169	0.03308103	0.000175526	-0.000229246	-9.99999999527854e-11	0.065738604	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	0.005453994	0.0056842907	-0.0398100794	-0.016928535	-0.0018740861	0.0031814684	0.0289324384	0.0272869352	-0.0210961057	0	0	0	0	0	0
0.0162069	0.00592511	0.00103674	0.000487974	0.000318214	9.97812e-05	-0.0050321	0.005491899	0.00333711	-0.000146155	0	0	0.021168859	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	0.039779474	0.0144443005	-0.0322717588	-0.0271423986	0.0313478472	0.0296555746	0.0053240311	0.0388490277	-0.0410566466	0	0	0	0	0	0
0.00508867	0.00592511	0.00103747	0.000487974	0.000190609	9.97812e-05	-0.01111823	0	7.30000000000001e-07	0	-0.000127605	0	0.01749921	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	0.0565038621	0.0077907241	0.0297073345	-0.0398650487	0.0453852244	0.0247667274	-0.0267855592	0.0335229826	-0.022174841	0	0	0	0	0	0
