"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0289488	-0.0359717	-0.05337	-0.00144823	0.000213659	0.000722375	-0.0196203	0.0070715	0.071222	1.39700000000001e-05	0.00022190211	0	0.1097074055	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0112248972	-0.0148220701	0.0029657458	-0.0607261384	-0.0098413657	0.017871575	0.0194972509	0.0255263787	-0.0210504649	-0.0246047565	0	0	0	0	0	0	0	0	0
0.0354672	-0.0409703	-0.07657	-0.000407813	0.000288356	0.00100498	0.0065184	-0.00499860000000001	-0.0232	0.001040417	7.4697e-05	0.000282605	0.10460295	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	-0.0061087154	-0.0011631282	0.0493746152	-0.0011621201	0.0309605319	-0.0566315935	-0.0465027651	0.0103812092	-0.0446913392	0.0017965904	0	0	0	0	0	0	0	0	0
0.0289554	-0.0309789	-0.0763853	0.000889363	0.000407798	0.000722375	-0.0065118	0.0099914	0.000184699999999996	0.001297176	0.000119442	-0.000282605	0.10164905	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0056282212	0.0099460277	0.0240163752	0.0554258687	0.0114607065	0.0099178815	0.0033988881	-0.0211772136	0.0119501002	0.0488382064	0	0	0	0	0	0	0	0	0
0.0314148	-0.0604334	0.00837941	-0.00187033	0.000659647	0.000769274	0.0024594	-0.0294545	0.08476471	-0.002759693	0.000251849	4.68989999999999e-05	0.26960066	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0067689291	0.0154026864	-0.0300318838	0.0185039307	-0.0132017023	0.0193233464	-0.0055521514	-0.0116239068	0.041641616	-0.0176022678	0	0	0	0	0	0	0	0	0
-0.00769216	-0.0289905	-0.0139246	-0.00340362	0.00060679	0.000227172	-0.03910696	0.0314429	-0.02230401	-0.00153329	-5.2857e-05	-0.000542102	0.19926632	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	-0.0122806148	0.0130175894	-0.037284467	-0.0016021937	0.0077129088	-0.013957013	-0.031629058	-0.0163540752	0.0002705485	0.016372372	0	0	0	0	0	0	0	0	0
-0.0221973	-0.0213508	-0.00385414	-0.00071758	5.62207e-06	-0.000505601	-0.01450514	0.0076397	0.01007046	0.00268604	-0.00060116793	-0.000732773	0.2332143465	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0070622666	0.0161169833	-0.0022722034	-0.033669355	-0.0039566202	0.0497393201	0.0233391422	-0.0001297319	-0.0460676899	0.02679318	0	0	0	0	0	0	0	0	0
0.00633824	-0.0205523	-0.0326374	-0.00151928	0.000289341	-0.00023049	0.02853554	0.000798500000000001	-0.02878326	-0.0008017	0.00028371893	0.000275111	0.1261437965	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-0.0153894038	0.0086395088	0.0335953781	-0.0235279841	-0.0110225963	-0.0414901595	-0.0546662183	0.0264539811	-0.0357145808	-0.017063061	0	0	0	0	0	0	0	0	0
0.00631264	-0.0524025	-0.0979284	0.000109571	7.45233e-05	-0.000287769	-2.56000000000006e-05	-0.0318502	-0.065291	0.001628851	-0.0002148177	-5.7279e-05	0.192214185	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0199043856	0.0066128521	0.0564460047	0.039269958	0.0054547086	-0.0032379191	0.0095739254	-0.0076430901	-0.0276617436	0.0677865394	0	0	0	0	0	0	0	0	0
0.00881293	-0.0173512	-0.0174825	-0.000671288	0.000407798	0.000194454	0.00250029	0.0350513	0.0804459	-0.000780859	0.0003332747	0.000482223	0.197815325	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0039809095	0.0244364226	-0.0102060595	0.0091590939	-0.0387995571	0.0423385096	0.0185920006	-0.0130439478	0.0444107284	0.008044097	0	0	0	0	0	0	0	0	0
0.0258057	-0.0298708	-0.054437	-6.95097e-05	0.000407798	0.00012134	0.01699277	-0.0125196	-0.0369545	0.0006017783	0	-7.3114e-05	0.100211485	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0177627872	0.0468860082	-0.0478969794	0.0239939506	0.014840065	-0.0351793246	-0.0588919087	-0.0413599577	0.0326683696	-0.0072853631	0	0	0	0	0	0	0	0	0
