"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0145851	-0.0847856	-0.119964	-0.000297953	-0.000234107	-0.000472126	-4.50999999999993e-05	-0.0515471	0.025373	-7.6114e-05	-0.000640654	-0.000203672	0.1229872	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	-0.0022241072	-0.0414588227	-0.0004903162	-0.0229549811	-0.0677371088	0.0062309068	0.0372867238	-0.0340196068	-0.0153208349	-0.060456538	0	0	0	0
-0.0341615	-0.0371025	-0.0955421	-0.000297953	0.000128287	-0.000523176	-0.0195764	0.0476831	0.0244219	0	0.000362394	-5.105e-05	0.1123536	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	0.0025935425	-0.0450506601	0.0462225968	0.0050660559	0.0055825864	-0.0070881734	0.0556681603	-0.0344721019	0.0095628899	-0.0262916527	0	0	0	0
-0.0253441	-0.0728966	-0.095535	-0.000242217	0.000171123	-0.000472126	0.00881740000000001	-0.0357941	7.099999999996e-06	5.5736e-05	4.2836e-05	5.105e-05	0.0520997	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	-0.0013006605	-0.0405029681	0.0108615527	-0.0171126313	-0.040181103	0.0403235243	0.0190619227	-0.0360120088	-0.0224149128	-0.0295387825	0	0	0	0
-0.0231276	-0.0258097	-0.098538	-0.000603376	3.2614e-05	-0.000472126	0.0022165	0.0470869	-0.00300299999999999	-0.000361159	-0.000138509	0	0.0772898	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	-0.0025898578	-0.0229881996	0.008414376	-0.0197875436	0.0212622441	0.0208032002	-0.0054624988	0.0010130353	0.0302412132	-0.0151595968	0	0	0	0
-0.0245977	-0.0411995	-0.0525654	-0.000297953	0.000216425	-0.000472126	-0.0014701	-0.0153898	0.0459726	0.000305423	0.000183811	0	0.0872942	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	0.0036773202	-0.0360406987	-0.0023339503	-0.025926135	0.0558736785	0.0081464714	0.0378802816	0.0016882567	-0.0054423931	-0.035494181	0	0	0	0
-0.014634	-0.0216407	-0.0446901	-0.000187972	0.000119359	-0.000472126	0.0099637	0.0195588	0.00787529999999999	0.000109981	-9.7066e-05	0	0.04775015	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	0.0073681835	-0.0496007602	0.0345808451	-0.015494635	-0.0584061874	-0.0183856134	0.0677081052	-0.0435768168	-0.0047836014	-0.055082057	0	0	0	0
-0.0190835	-0.0450482	-0.0123279	-0.000164584	-7.3371e-05	-0.000472126	-0.0044495	-0.0234075	0.0323622	2.3388e-05	-0.00019273	0	0.0710251	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	0.0121840049	-0.0490473732	0.0597389969	0.018552761	0.0168098382	-0.0286274686	0.0809477085	-0.0304857861	-0.0133015433	-0.0343440314	0	0	0	0
-0.00428928	-0.0126302	-0.0430294	0.000469579	0.000115609	-0.000195069	0.01479422	0.032418	-0.0307015	0.000634163	0.00018898	0.000277057	0.13292372	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	0.0121213345	-0.046204683	0.0345004964	-0.0180141173	-0.0473262949	0.0266123983	0.0357483057	-0.028943268	-0.013904965	-0.0557261718	0	0	0	0
-0.014663	-0.00203531	-0.00160918	0.000111161	0.000107335	-0.000140846	-0.01037372	0.01059489	0.04142022	-0.000358418	-8.274e-06	5.4223e-05	0.08343458	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	0.0145606912	-0.0372597398	0.0341450137	-0.0176725446	0.0428294053	-0.003356661	0.0427031168	-0.0082458476	0.0172360122	-0.0198545517	0	0	0	0
-0.0146492	-0.028485	-0.00159382	0.000434592	7.10156e-05	-6.52896e-05	1.37999999999978e-05	-0.02644969	1.53600000000001e-05	0.000323431	-3.63194e-05	7.55564e-05	0.04824419	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	0.0117725849	-0.0432821221	0.0124492742	-0.0455017844	-0.0335293025	0.0274043349	0.0242766449	-0.0175687452	-0.0090980604	-0.053155687	0	0	0	0
